source_id@collection_memberships.#1@collection_memberships.#2@collection_memberships.#3@collection_memberships.#4@collection_memberships.#5@subscription.#1@subscription.#2@subscription.#3@subscription.#4@subscription.#5@Acronym@Administration@Asset_Classification@ONCO_ATC_Code@ATC_Level3@Black_Box@Company_HQ@Completion_Date@Current_Status@Drug_Description@Drug_Type@DynamicObjectID@ONCO_Full_Indication@Gender@ONCO_Hospital_Status@HTA_Decision_Date.RawValue@HTA_Decision_Date.Value@ICER_QALYs@Intervention@Intervention_Type@Length_Of_Trial@Level_Of_Reimbursement@Licensing_Status@Line_Of_Therapy@NCT_Code@No_Of_Patients@Official_Dosage@ONCO_Approval_Date.RawValue@ONCO_Approval_Date.Value@ONCO_Marketing_Date@ONCO_Orphan_Drug@Breakthrough_Therapy@ONCO_Start_Date@ONCO_Warnings@Other_IDs@ONCO_Parallel_Import@Patent_Expiration@Patient_Description@Patient_Profile@Patient_Profile_Age_Groups@Phase_Of_Trial@Portfolio_Pipeline_Status@ONCO_Regulatory_Submission_Date@Reimbursement_Guidance@Reimbursement_Plan@Results_Efficacy@Results_Safety_and_Adverse_Events@Sponsors@Study_Funded_By@ONCO_Therapeutic_Class@Type_Of_Therapy@API.#1@API.#2@API.#3@API.#4@API.#5@API_KEY@ONCO_Company.#1@ONCO_Company.#2@ONCO_Company.#3@ONCO_Company.#4@ONCO_Company.#5@ONCO_Company_KEY@Country_Clinical_Trial.#1@Country_Clinical_Trial.#2@Country_Clinical_Trial.#3@Country_Clinical_Trial.#4@Country_Clinical_Trial.#5@Country_Clinical_Trial_KEY@Disease_Area.#1@Disease_Area.#2@Disease_Area.#3@Disease_Area.#4@Disease_Area.#5@Disease_Area_KEY@Drug.#1@Drug.#2@Drug.#3@Drug.#4@Drug.#5@Drug_KEY@Drug_Class.#1@Drug_Class.#2@Drug_Class.#3@Drug_Class.#4@Drug_Class.#5@Drug_Class_KEY@Primary_Endpoint.#1@Primary_Endpoint.#2@Primary_Endpoint.#3@Primary_Endpoint.#4@Primary_Endpoint.#5@Secondary_Endpoints.#1@Secondary_Endpoints.#2@Secondary_Endpoints.#3@Secondary_Endpoints.#4@Secondary_Endpoints.#5@Stage_Of_Disease.#1@Stage_Of_Disease.#2@Stage_Of_Disease.#3@Stage_Of_Disease.#4@Stage_Of_Disease.#5@Trial_Design.#1@Trial_Design.#2@Trial_Design.#3@Trial_Design.#4@Trial_Design.#5@Assumption_value@Assumption_unit@ATC_Calculation_attempt@Average_Annual_Cost@Average_Cost_Per_Treatment_Cycle@Average_Duration_of_Use.Value@Average_Duration_of_Use.Unit@Average_Duration_of_Use.Comment@Average_Treatment_Cost.RawValue@Average_Treatment_Cost.Value@Cost_Per_Day@Number_of_Units@ONCO_Exchange_Rate@Factory_Price@Retail_Price@Wholesale_Price@PriceTimestamps.ManufacturerPriceDelta.TimeStamp@PriceTimestamps.ManufacturerPriceDelta.ValueChange@PriceTimestamps.ManufacturerPriceDelta.PercentageChange@PriceTimestamps.WholesalerPriceDelta.TimeStamp@PriceTimestamps.WholesalerPriceDelta.ValueChange@PriceTimestamps.WholesalerPriceDelta.PercentageChange@PriceTimestamps.RetailerPriceDelta.TimeStamp@PriceTimestamps.RetailerPriceDelta.ValueChange@PriceTimestamps.RetailerPriceDelta.PercentageChange@Price_Per_MG@Treatment_Phase_1.Cycle_Duration@Treatment_Phase_1.Cycle_Repetition@Treatment_Phase_1.Dosage_Unit@Treatment_Phase_1.Dosage_Value@Treatment_Phase_1.Treatment_Duration@Treatment_Phase_2.Cycle_Duration@Treatment_Phase_2.Cycle_Repetition@Treatment_Phase_2.Dosage_Unit@Treatment_Phase_2.Dosage_Value@Treatment_Phase_2.Treatment_Duration@Treatment_Phase_3.Cycle_Duration@Treatment_Phase_3.Cycle_Repetition@Treatment_Phase_3.Dosage_Unit@Treatment_Phase_3.Dosage_Value@Treatment_Phase_3.Treatment_Duration@Price_Date@ONCO_Price_per_Unit.RawValue@ONCO_Price_per_Unit.Value@Import_Id@Form@Currency@Active_Ingredients.Original.Active_Ingredient@Active_Ingredients.Original.Input_Language@Active_Ingredients.Original.Active_Ingredient_Translated@Active_Ingredients.Original.Volume@Active_Ingredients.Original.Volume_Unit@Active_Ingredients.Original.Dose@Active_Ingredients.Original.Dose_Unit@Active_Ingredients.Original.Strength@Active_Ingredients.Original.Strength_Unit@Active_Ingredients.Original.Strength_Comment@Active_Ingredients.Original.DDD@Active_Ingredients.Original.DDD_Unit@Active_Ingredients.Original.DDD_Comment@Active_Ingredients.Extracted.Active_Ingredient_Item.#1@Active_Ingredients.Extracted.Active_Ingredient_Item.#2@Active_Ingredients.Extracted.Active_Ingredient_Item.#3@Active_Ingredients.Extracted.Active_Ingredient_Item.#4@Active_Ingredients.Extracted.Active_Ingredient_Item.#5@Active_Ingredients.Extracted.Active_Ingredient_Item_Translated.#1@Active_Ingredients.Extracted.Active_Ingredient_Item_Translated.#2@Active_Ingredients.Extracted.Active_Ingredient_Item_Translated.#3@Active_Ingredients.Extracted.Active_Ingredient_Item_Translated.#4@Active_Ingredients.Extracted.Active_Ingredient_Item_Translated.#5@Active_Ingredients.Extracted.Strength_Item.#1@Active_Ingredients.Extracted.Strength_Item.#2@Active_Ingredients.Extracted.Strength_Item.#3@Active_Ingredients.Extracted.Strength_Item.#4@Active_Ingredients.Extracted.Strength_Item.#5@Active_Ingredients.Extracted.Strength_CALC@Active_Ingredients.Extracted.Strength_unit@Active_Ingredients.Extracted.Strength_value@Active_Ingredients.Extracted.DDD@TimeStamp@geographic_location.#1.row_id@geographic_location.#1.name@geographic_location.#2.row_id@geographic_location.#2.name@geographic_location.#3.row_id@geographic_location.#3.name@geographic_location.#4.row_id@geographic_location.#4.name@geographic_location.#5.row_id@geographic_location.#5.name
14924641@Onco@@@@@300f1228ntsdm@300f1226ntsdm@300f1224ntsdm@300f1230ntsdm@300f1223ntsdm@@N/A@@-@-@-@ROCKVILLE, MARYLAND@@@Panzem is an orally active, well-tolerated compound that has antiproliferative, antiangiogenic and anti-inflammatory properties. Panzem attacks tumor cells through multiple mechanisms of action (MOA) and blocks the development of new blood vessels that feed tumor cells. Panzem's MOAs include the disruption of angiogenesis through the inhibition of hypoxia inducible factor-1 alpha (HIF-1a), a protein required for angiogenesis and cell survival under stress. The inhibition of angiogenesis is an important approach to the treatment of both cancer and rheumatoid arthritis. Initial development of 2ME2 has been focused on various oncology indications. While modest antitumor activity has been demonstrated across most clinical studies, there is no clear development path that would allow the Company to narrow the indications for the next series of larger randomized studies. Panzem for oncology is a drug candidate that needs to be developed in combination with other chemotherapeutic agents, requiring the conduct of further non-randomized trials to clarify specific combinations and indications. Conversely, Panzem has potential as a single agent in rheumatoid arthritis based on its antiangiogenic, antiiflammatory, and antiosteoclastic (bone resorption) properties.@@14924641@Metastatic docetaxel-refractory androgen-independent prostate cancer@@-@-@@NO REVIEW@@@@-@Entremed announces restructuring plan, including the loss of 60% of staff and core focus on development of ENMD-2076. [EntreMed, 19.12.2008]@SECOND-LINE@NCT00394810@-@-@-@@@-@@11/1/2006@-@-@@-@-@@@II@DISCONTINUED@@-@-@Development discontinued; modest antitumor activity has been shown across most of the clinical studies, yet there is not a clear development path that would narrow the indications for larger randomized studies. Additional trial costs, the high doses required for use in oncology, and manufacturing/process development expenditures would together require the commitment of a disproportionate amount of resources and limit clinical development efforts on the remainder of the pipeline. SOURCE: Entremed press release, 13 March 2008@-@@@@MONO@2-METHOXYESTRADIOL@@@@@2-METHOXYESTRADIOL||||@ENTREMED@@@@@ENTREMED||||@@@@@@|||||||||@Prostate Cancer@@@@@Prostate Cancer|||||||||@PANZEM NCD@@@@@PANZEM NCD||||@2ME2@Angiogenesis Inhibitor@@@@2ME2|Angiogenesis Inhibitor|||@RESPONSE RATE@SAFETY@@@@@@@@@METASTATIC@REFRACTORY@@@@NON-RANDOMISED@OPEN-LABEL@ACTIVE CONTROL@SINGLE-ARM@@@@Invalid Factory Price@@@@@-@-@@@@-@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@-@@@-@US$@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@244@United States
14923994@Onco@@@@@300f1010ntsdm@@@@@@Uftoral/calcium folinate versus Mayo regimen/calcium folinate@@L01BC53@L01B@-@DARMSTADT, GERMANY@@@@@14923994@First-line treatment of metastatic colorectal cancer with calcium folinate.@@NO@-@@NO REVIEW@@@@100%@-@-@-@1196@The dose of Uftoral is 300 mg/m2/day tegafur and 672 mg/m2/day uracil combined with 90 mg/day oral calcium folinate, given in three divided doses (preferably every 8 hours). Calcium folinate should be taken at the same time as Uftoral. Doses should be taken at least one hour before or one hour after meals for 28 consecutive days.@5-Oct@@@-@@@-@LABEL@@-@1196 [METASTATIC COLORECTAL CANCER]@@@III STUDY-011 AND STUDY-012@DISCONTINUED@@-@NHS@The median survival time was 12.4 months (95% CI: 11.2-13.6 months) and 13.4 months in the Uftoral/calcium folinate and the 5FU/calcium folinate treatment groups, respectively (Study-011). The median TTP was 3.4 months and 3.3 months respectively. @-@@@@COMBO@TEGAFUR / URACIL@@@@@TEGAFUR / URACIL||||@MERCK SERONO@@@@@MERCK SERONO||||@@@@@@|||||||||@Colorectal Cancer@@@@@Colorectal Cancer|||||||||@UFTORAL@MAYO REGIMEN@@@@UFTORAL|MAYO REGIMEN|||@Anti-metabolite@Pyrimidine Analogue@@@@Anti-metabolite|Pyrimidine Analogue|||@OVERALL SURVIVAL@@@@@@@@@@METASTATIC@@@@@RANDOMISED@@@@@@@Invalid Factory Price@@@@@-@-@@@35@1.5665@@@@@@@@@@@@@@@@@@@@@@@@@@@@@3/6/2013@@@UK_BNF_458894686@CAPSULES@GB£@@@@@@@@@@100 MG|224 MG@@@@@@@@@@@@@@@@@@@@@@@@243@United Kingdom
14916163@Onco@@@@@300f1014ntsdm@300f1813ntsdm@@@@@14 day continuous IV administration of TLN-4601 at 480 mg/m2/day followed by a 7-day recovery period  [Thallion]@@-@-@-@MONTREAL, CANADA@6/1/2010@@TLN-4601 is a proprietary first-in-class small molecule with the potential to treat multiple solid tumours. like the well known chemotherapeutics, doxorubicin and mitomycin C. TLN-4601 is a natural product derived from a non-pathogenic micro-organism. Discovered using Thallion’s DECIPHER technology, TLN-4601 has completed preclinical studies.@@14916163@-@@-@-@@NO REVIEW@@@@-@Thallion was formed from the merger of Ecopia BioSciences and Caprion Pharmaceuticals. [Thallion, 14.03.2007]@SECOND-LINE@NCT00730262@40@-@-@@@-@@8/1/2008@-@TLN-4601-201@@-@">> Histologically confirmed Glioblastoma Multiforme (GBM) 
>> Prior treatment by surgery, radiation, and one first line systemic therapy (including temozolomide or other chemotherapy, immunotherapy, targeted therapy or combination therapies), followed by measurable and unequivocal evidence of tumor progression or recurrence "@@@II@II@@-@-@">> First patient enrolled. [Thallion, 25.09.2008]
>> Trial registered. [Thallion, 06.08.2008]"@-@@@@-@-@@@@@-||||@THALLION PHARMACEUTICALS@CAPRION@@@@THALLION PHARMACEUTICALS|CAPRION|||@@@@@@|||||||||@Brain Cancer@Glioblastoma Multiforme@@@@Brain Cancer|Glioblastoma Multiforme||||||||@TLN-4601@ECO-4601@@@@TLN-4601|ECO-4601|||@Other@@@@@Other||||@PROGRESSION-FREE SURVIVAL@@@@@SAFETY@TOLERABILITY@@@@RELAPSED@@@@@OPEN-LABEL@SINGLE-ARM@@@@@@Invalid Factory Price@@@@@-@-@@@@-@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@-@@@-@C$@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@49@Canada
14918002@Onco@@@@@300f1228ntsdm@300f1226ntsdm@300f1224ntsdm@300f1230ntsdm@300f1223ntsdm@@Actiq for breakthrough cancer pain@@N02AB03@N02A@YES@FRAZER, PENNSYLVANIA@@@Fentanyl is a pure opioid agonist whose principal therapeutic action is analgesia. Other members of the class known as opioid agonists include substances such as morphine, oxycodone, hydromorphone, codeine, and hydrocodone.@@14918002@Indicated only for management of breakthrough cancer pain in patients 16 and older with malignancies who are already receiving and who are tolerant to opioid therapy for their underlying persistent cancer pain.@@NO@@@NO REVIEW@@@@@Licensed from Kyowa Hakko; supplied by Abbott. Acquired through US$444 mil. takeover of Anesta Corp in 2000.@@@130@Initial dose: 200 mcg. Prescribe an initial supply of six 200 mcg units.@FDA, 4 November 1998@11/4/1998@@@@@Must not be used in opioid non-tolerant patients; fentanyl is a Schedule II controlled substance; life-threatening hypoventilation can occur at any dose; contraindicated in acute or post-operative pain@LABEL@No@SEPTEMBER 2006 (EXCLUSIVITY; FEBRUARY 2010)@@@@III@APPROVED@@Prior authorisation; specialty drug; quantity limit 120 for 30 days@MEDICARE@92 of 130 patients (71% achieved a successful dose during titration. The most successful doses were 400mcg (21%) and 800mcg (20%).@@@@@MONO@FENTANYL CITRATE@@@@@FENTANYL CITRATE||||@CEPHALON@@@@@CEPHALON||||@@@@@@|||||||||@Supportive Care@Cancer Pain@@@@Supportive Care|Cancer Pain||||||||@ACTIQ@@@@@ACTIQ||||@Opioid Analgesic@@@@@Opioid Analgesic||||@RESPONSE RATE@MAXIMUM TOLERATED DOSE@@@@@@@@@@@@@@DOUBLE-BLIND@PLACEBO-CONTROLLED@@@@@@Invalid Dosage Value Phase 1@@@@@@@@@30@1@2177@@@@@@@@@@@@@@@@@@@@@@@@@@@@8/2/2017@72.57@72.57@63459-0504-30@LOZENGE@US$@@@@@@@@400@MCG@@@@@@@@@@@@@@@@@@@@@@@@@244@United States
16617129@Onco@@@@@300f1010ntsdm@@@@@@Ibrutinib: 420 mg daily or 840 mg daily@@L01XE27@L01X@@BEERSE, BELGIUM@6/1/2013@@Ibrutinib was designed to specifically target and selectively inhibit an enzyme called Bruton's tyrosine kinase (BTK). BTK is a key mediator of at least three critical B-cell pro-survival mechanisms occurring in parallel – regulating apoptosis, adhesion, and cell migration and homing. Through these multiple actions, BTK helps to direct malignant B-cells to lymphoid tissues, thus allowing access to a microenvironment necessary for survival.@@16617129@Treatment of adult patients with chronic lymphocytic leukaemia (CLL) in first line in the presence of 17p deletion or TP53 mutation in patients unsuitable for chemo immunotherapy.@@NO@25-Jan-17@1/25/2017@NO REVIEW@@@@100%@@FIRST-LINE@NCT01105247@133@420 mg taken orally once daily (three 140 mg capsules once daily)@EMA, 21 October 2014@10/21/2014@12/29/2014@Yes@@4/1/2010@@PCYC-1102-CA@No@@@@@II@APPROVED@@Recommended: 25 January 2017. Ibrutinib alone is recommended within its marketing authorisation as an option for treating chronic lymphocytic leukaemia in adults who have a 17p deletion or TP53 mutation, and in whom chemoimmunotherapy is unsuitable and only when the company provides ibrutinib with the discount agreed in the patient access scheme.  [https://www.nice.org.uk/guidance/TA429/chapter/1Recommendations]November 2016: Ibrutinib alone is recommended within its marketing authorisation as an option for treating chronic lymphocytic leukaemia in adults:who have a 17p deletion or TP53 mutation (untreated patients), and in whom chemoimmunotherapy is unsuitable and only when the company provides ibrutinib with the discountagreed in the patient access scheme@NHS@@@@@@MONO@IBRUTINIB@@@@@IBRUTINIB||||@JANSSEN PHARMACEUTICAL@@@@@JANSSEN PHARMACEUTICAL||||@@@@@@|||||||||@Chronic Lymphocytic Leukaemia@@@@@Chronic Lymphocytic Leukaemia|||||||||@IMBRUVICA@@@@@IMBRUVICA||||@TK Inhibitor@@@@@TK Inhibitor||||@SAFETY@@@@@PROGRESSION-FREE SURVIVAL@RESPONSE RATE@@@@@@@@@OPEN-LABEL@NON-RANDOMISED@SINGLE GROUP ASSIGNMENT@@@1@1@41964.9552@@@9@month@9 month@41964.96@41964.96@153.3@90@1.299@4599@@@@@@@@@@@@0.37@1@@mg@420@1@@@@@@@@@@@7/28/2017@51.1@51.1@2.83E+16@CAPSULE@GB£@@@@@@@@140@MG@140 MG@@@@@@@@@@@@@@@@@@@@@@@@243@United Kingdom
16643276@Onco@@@@@300f1020ntsdm@@@@@@Drug: treatment crizotinib 250mg orally continuous twice daily dosingDrug: treatment pemetrexed 500mg/m2 IV day 1 plus cisplatin 75mg/m2 IV day 1 every 21 days OR pemetrexed 500mg/m2 IV day 1 plus carboplatin AUC 5 or 6 day 1 every 21 days investigator's choice@@L01XE16@L01X@@NEW YORK, NEW YORK@11/1/2013@@@@16643276@XALKORI is indicated for the first-line treatment of adults with anaplastic lymphoma kinase (ALK)-positive advanced non-small cell lung cancer (NSCLC).@@YES@3-Feb-17@2/3/2017@@@@@@Acquired through takeover of Pharmacia Corp., which acquired it from Sugen@FIRST-LINE@NCT01154140@343@The recommended dose schedule of XALKORI is 250 mg taken orally twice daily. Continue treatment as long as the patient is deriving clinical benefit from therapy.@EMA, 23 November 2015@11/23/2015@@NO@@1/1/2013@@A8081014, 2010-021336-33, XALCORI@No@@Proven diagnosis of locally advanced not suitable for local treatment, recurrent and metastatic non-squamous cell carcinoma of the lung - Positive for translocation or inversion events involving the ALK gene locus- No prior systemic treatment for locally advanced or metastatic disease; Patients with brain metastases only if treated and neurologically stable with no ongoing requirement for corticosteroids - Evidence of a personally signed and dated informed consent document and willingness and ability to comply with scheduled visits, treatment plans, laboratory tests, and other study procedures including completion of patient reported outcome [PRO] measures - 18 years of age or older with the exception of India which has an upper age limit of 65 years old@(ALK)-positive@@@APPROVED@@Included into the reimbursement list on 3 February 2017 [http://www.gazzettaufficiale.biz/atti/2017/20170045/17A01271.htm]@SSN@@@@@@MONO@CRIZOTINIB@@@@@CRIZOTINIB||||@PFIZER@@@@@PFIZER||||@@@@@@|||||||||@NSCLC@@@@@NSCLC|||||||||@XALKORI@@@@@XALKORI||||@PDGF@@@@@PDGF||||@OVERALL SURVIVAL@Objective response rate@DURATION OF RESPONSE@@@OBJECTIVE RESPONSE RATE@@@@@ADVANCED@@@@@RANDOMIZED@PARALLEL ASSIGNMENT@OPEN LABEL@@@1@1@81502.20623@@@10.9@month@10.9 month@81502.21@81502.21@245.83@60@1.1229@5900@9737.36@6165.56@@@@@@@@@@0.49@1@@mg@500@1@@@@@@@@@@@6/7/2017@98.33@98.33@42549016@CAPSULE@EURO@@@@@@@@200@MG@200 MG@@@@@@@@@@@@@@@@@@@@@@@@119@Italy
16159518@Onco@@@@@300f1228ntsdm@300f1226ntsdm@300f1224ntsdm@300f1230ntsdm@300f1223ntsdm@@osimertinib and bevacizumab, Experimental, Phase 1:3+3 dose escalation design 2 dose levels Dose level -1: Osimertinib 60mg daily Maximum accrual = 12 Bevacizumab 15mg/kg q3 weeks Dose level 1: Osimertinib 80mg daily Bevacizumab 15mg/kg q3 WeeksPhase 2:Use MTD determined during phase 1@@L01XE35@L01X@@LONDON, UNITED KINGDOM@6/1/2019@@Osimertinib is kinase inhibitor of the epidermal growth factor receptor (EGFR), which binds irreversibly to certain mutant forms of EGFR (T790M, L858R, and exon 19 deletion) at approximately 9-fold lower concentrations than wild-type.@@16159518@A Phase 1/2 Study of Combination Osimertinib and Bevacizumab as Treatment for Patients With EGFR-mutant Lung Cancers@Both@@@@@@@@@@FIRST-LINE@NCT02803203@55@@@@@@@6/1/2016@@16-033@@@Written informed consent  -  Advanced biopsy-proven metastatic non-small cell lung cancer  -  Somatic activating mutation in EGFR  -  No prior treatment with an EGFR TKI  -  No prior treatment with a VEGF inhibitor  -  Measurable (RECIST 1.1) indicator lesion not previously irradiated  -  Karnofsky performance status (KPS) ≥ 70%  -  Age >18 years old  -  Adequate organ function  -  AST, ALT ≤ 3 x ULN  -  Total bilirubin ≤ 1.5x ULN  -  Creatinine ≤ 1.5x ULN OR calculated creatinine clearance > 60ml/min  -  Absolute neutrophil count (ANC) ≥ 1000 cells/mm3  -  Hemoglobin≥8.0 g/dL  -  Platelets ≥100,000/mm3@@ADULTS@Phase 1/Phase 2@I/II@@@@@@@@@COMBO@OSIMERTINIB@BEVACIZUMAB@@@@OSIMERTINIB|BEVACIZUMAB|||@ASTRAZENECA@@@@@ASTRAZENECA||||@United States@@@@@United States|||||||||@NSCLC@@@@@NSCLC|||||||||@TAGRISSO@AVASTIN@@@@TAGRISSO|AVASTIN|||@TK Inhibitor@EGFR@@@@TK Inhibitor|EGFR|||@maximum tolerated dose (MTD) (Phase I)@progression-free survival (Phase II)@@@@@@@@@METASTATIC@ADVANCED@@@@SAFETY/EFFICACY STUDY@SINGLE GROUP ASSIGNMENT@OPEN LABEL@@@@@Invalid Factory Price@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@244@United States
14918258@Onco@@@@@300f1012ntsdm@@@@@@NO LABELLED TRIAL@@M04AA01@M04A@NO@GERMANY@@@@@14918258@Indicated in the management of patients with signs and symptomas of primary or secondary gout (acute attacks, tophi, joint destruction, uric acid lithiasis, and/or nephroptahy; the management of patients with leukaemia, lymphoma and malignancies who are receiving cancer therapy which causes elevations of serum and urinary uric acid levels. Treatment should be discontinued when the potential for overproduction of uric acid is no longer presents; and, the management of patients with recurrent calcium oxalate calculi whose daily uric acid excretion exceeds 800mg/day in male patients and 750mg/day in female patients. This is not an innocuous drug. It is not recommended for the treatment of asymptomatic hyperuricemia.@@NO@@@NO REVIEW@@@@90% (MINIMUM CO-PAYMENT: EUR5, MAXIMUM CO-PAYMENT: EUR10)@@@@@Dosage in Adults: should be introduced at low dosage e.g. 100mg/day to reduce the risk of adverse reactions and increased only if the serum urate response is unsatisfactory. Extra caution should be exercised if renal function is poor. The following dosage schedules are suggested: 100 to 200 mg daily in mild conditions, 300 to 600 mg daily in moderately severe conditions, 700 to 900 mg daily in severe conditions. If dosage on a mg/kg bodyweight basis is required, 2 to 10 mg/kg bodyweight/day should be used. Dosage in children: Children under 15 years: 10 to 20 mg/kg bodyweight/day up to a maximum of 400 mg daily. Use in children is rarely indicated, except in malignant conditions (especially leukaemia) and certain enzyme disorders such as Lesch-Nyhan syndrome.@@@@@@@Should be discontinued at the first appearance of skin rash or other signs which may indicate an allergic rection. Dose should be adjusted if co-administered with Purinethol or Imuran.@NO LABELLED TRIAL@No@@@@@@APPROVED@@@GKV@NO LABELLED TRIAL@@@@@@ALLOPURINOL@@@@@ALLOPURINOL||||@ACIS@@@@@ACIS||||@@@@@@|||||||||@Supportive Care@Haematological Malignancy@Acute Lymphocytic Leukaemia@Acute Myeloid Leukaemia@Non-Hodgkin's Lymphoma@Supportive Care|Haematological Malignancy|Acute Lymphocytic Leukaemia|Acute Myeloid Leukaemia|Non-Hodgkin's Lymphoma|||||@GENERIC@@@@@GENERIC||||@Other@@@@@Other||||@@@@@@@@@@@@@@@@@@@@@@@Invalid Dosage Value Phase 1@@@@@@@@@30@1.1511@1.09@12.36@1.82@@@@@@@@@@@@@@@@@@@@@@@@@@8/1/2017@0.04@0.04@108878@TABLET@EURO@@@@@@@@300@MG@@@@@@@@@@@@@@@@@@@@@@@@@92@Germany
16387805@Onco@@@@@300f1037ntsdm@@@@@@@@L02BG03@L02B@@LONDON, UNITED KINGDOM@@@Arimidex is a potent and highly selective non-steroidal aromatase inhibitor. In postmenopausal women, estradiol is produced primarily from the conversion of androstenedione to estrone through the aromatase enzyme complex in peripheral tissues. Estrone is subsequently converted to estradiol. Reducing circulating estradiol levels has been shown to produce a beneficial effect in women with breast cancer. In postmenopausal women, Arimidex at a daily dose of 1 mg produced estradiol suppression of greater than 80% using a highly sensitive assay. Arimidex does not possess any progestogenic, androgenic or oestrogenic activity. Daily doses of Arimidex up to 10 mg do not have any effect on cortisol or aldosterone secretion, measured before or after standard ACTH challenge testing. Corticoid supplements are therefore not needed.@@16387805@Treatment of advanced breast cancer in post-menopausal women with disease progression following tamoxifen therapy.@@NO@@@NO REVIEW@@@@90%@@SECOND-LINE@@375@The dose of Arimidex is one 1 mg tablet taken once a day. For patients with advanced breast cancer, Arimidex should be continued until tumour progression.@EMA, 3 March 2000@3/3/2000@@@@@@@No@@@@@@APPROVED@@@SNS@@@@@@MONO@ANASTROZOLE@@@@@ANASTROZOLE||||@ASTRAZENECA@@@@@ASTRAZENECA||||@@@@@@|||||||||@Breast Cancer@@@@@Breast Cancer|||||||||@ARIMIDEX@@@@@ARIMIDEX||||@Hormone Antagonist@Aromatase Inhibitor@@@@Hormone Antagonist|Aromatase Inhibitor|||@@@@@@@@@@@ADVANCED@@@@@CONTROLLED@DOUBLE-BLIND@@@@1@1@210.309889@@@5.03@month@5.03 month@210.31@210.31@1.37@28@1.1511@38.49@60.09@41.69@@@@@@@@@@1.37@1@@mg@1@1@@@@@@@@@@@8/4/2017@1.37@1.37@754465@FILM-COATED TABLET@EURO@@@@@@@@1@MG@1 MG@@@@@@@@@@@@@@@@@@@@@@@@217@Spain
