source_id@collection_memberships.#1@collection_memberships.#2@collection_memberships.#3@collection_memberships.#4@collection_memberships.#5@subscription.#1@subscription.#2@subscription.#3@subscription.#4@subscription.#5@Acronym@Administration@Asset_Classification@ONCO_ATC_Code@ATC_Level3@Black_Box@Company_HQ@Completion_Date@Current_Status@Drug_Description@Drug_Type@DynamicObjectID@ONCO_Full_Indication@Gender@ONCO_Hospital_Status@HTA_Decision_Date.RawValue@HTA_Decision_Date.Value@ICER_QALYs@Intervention@Intervention_Type@Length_Of_Trial@Level_Of_Reimbursement@Licensing_Status@Line_Of_Therapy@NCT_Code@No_Of_Patients@Official_Dosage@ONCO_Approval_Date.RawValue@ONCO_Approval_Date.Value@ONCO_Marketing_Date@ONCO_Orphan_Drug@Breakthrough_Therapy@ONCO_Start_Date@ONCO_Warnings@Other_IDs@ONCO_Parallel_Import@Patent_Expiration@Patient_Description@Patient_Profile@Patient_Profile_Age_Groups@Phase_Of_Trial@Portfolio_Pipeline_Status@ONCO_Regulatory_Submission_Date@Reimbursement_Guidance@Reimbursement_Plan@Results_Efficacy@Results_Safety_and_Adverse_Events@Sponsors@Study_Funded_By@ONCO_Therapeutic_Class@Type_Of_Therapy@API.#1@API.#2@API.#3@API.#4@API.#5@API_KEY@ONCO_Company.#1@ONCO_Company.#2@ONCO_Company.#3@ONCO_Company.#4@ONCO_Company.#5@ONCO_Company_KEY@Country_Clinical_Trial.#1@Country_Clinical_Trial.#2@Country_Clinical_Trial.#3@Country_Clinical_Trial.#4@Country_Clinical_Trial.#5@Country_Clinical_Trial_KEY@Disease_Area.#1@Disease_Area.#2@Disease_Area.#3@Disease_Area.#4@Disease_Area.#5@Disease_Area_KEY@Drug.#1@Drug.#2@Drug.#3@Drug.#4@Drug.#5@Drug_KEY@Drug_Class.#1@Drug_Class.#2@Drug_Class.#3@Drug_Class.#4@Drug_Class.#5@Drug_Class_KEY@Primary_Endpoint.#1@Primary_Endpoint.#2@Primary_Endpoint.#3@Primary_Endpoint.#4@Primary_Endpoint.#5@Secondary_Endpoints.#1@Secondary_Endpoints.#2@Secondary_Endpoints.#3@Secondary_Endpoints.#4@Secondary_Endpoints.#5@Stage_Of_Disease.#1@Stage_Of_Disease.#2@Stage_Of_Disease.#3@Stage_Of_Disease.#4@Stage_Of_Disease.#5@Trial_Design.#1@Trial_Design.#2@Trial_Design.#3@Trial_Design.#4@Trial_Design.#5@Assumption_value@Assumption_unit@ATC_Calculation_attempt@Average_Annual_Cost@Average_Cost_Per_Treatment_Cycle@Average_Duration_of_Use.Value@Average_Duration_of_Use.Unit@Average_Duration_of_Use.Comment@Average_Treatment_Cost.RawValue@Average_Treatment_Cost.Value@Cost_Per_Day@Number_of_Units@ONCO_Exchange_Rate@Factory_Price@Retail_Price@Wholesale_Price@PriceTimestamps.ManufacturerPriceDelta.TimeStamp@PriceTimestamps.ManufacturerPriceDelta.ValueChange@PriceTimestamps.ManufacturerPriceDelta.PercentageChange@PriceTimestamps.WholesalerPriceDelta.TimeStamp@PriceTimestamps.WholesalerPriceDelta.ValueChange@PriceTimestamps.WholesalerPriceDelta.PercentageChange@PriceTimestamps.RetailerPriceDelta.TimeStamp@PriceTimestamps.RetailerPriceDelta.ValueChange@PriceTimestamps.RetailerPriceDelta.PercentageChange@Price_Per_MG@Treatment_Phase_1.Cycle_Duration@Treatment_Phase_1.Cycle_Repetition@Treatment_Phase_1.Dosage_Unit@Treatment_Phase_1.Dosage_Value@Treatment_Phase_1.Treatment_Duration@Treatment_Phase_2.Cycle_Duration@Treatment_Phase_2.Cycle_Repetition@Treatment_Phase_2.Dosage_Unit@Treatment_Phase_2.Dosage_Value@Treatment_Phase_2.Treatment_Duration@Treatment_Phase_3.Cycle_Duration@Treatment_Phase_3.Cycle_Repetition@Treatment_Phase_3.Dosage_Unit@Treatment_Phase_3.Dosage_Value@Treatment_Phase_3.Treatment_Duration@Price_Date@ONCO_Price_per_Unit.RawValue@ONCO_Price_per_Unit.Value@Import_Id@Form@Currency@Active_Ingredients.Original.Active_Ingredient@Active_Ingredients.Original.Input_Language@Active_Ingredients.Original.Active_Ingredient_Translated@Active_Ingredients.Original.Volume@Active_Ingredients.Original.Volume_Unit@Active_Ingredients.Original.Dose@Active_Ingredients.Original.Dose_Unit@Active_Ingredients.Original.Strength@Active_Ingredients.Original.Strength_Unit@Active_Ingredients.Original.Strength_Comment@Active_Ingredients.Original.DDD@Active_Ingredients.Original.DDD_Unit@Active_Ingredients.Original.DDD_Comment@Active_Ingredients.Extracted.Active_Ingredient_Item.#1@Active_Ingredients.Extracted.Active_Ingredient_Item.#2@Active_Ingredients.Extracted.Active_Ingredient_Item.#3@Active_Ingredients.Extracted.Active_Ingredient_Item.#4@Active_Ingredients.Extracted.Active_Ingredient_Item.#5@Active_Ingredients.Extracted.Active_Ingredient_Item_Translated.#1@Active_Ingredients.Extracted.Active_Ingredient_Item_Translated.#2@Active_Ingredients.Extracted.Active_Ingredient_Item_Translated.#3@Active_Ingredients.Extracted.Active_Ingredient_Item_Translated.#4@Active_Ingredients.Extracted.Active_Ingredient_Item_Translated.#5@Active_Ingredients.Extracted.Strength_Item.#1@Active_Ingredients.Extracted.Strength_Item.#2@Active_Ingredients.Extracted.Strength_Item.#3@Active_Ingredients.Extracted.Strength_Item.#4@Active_Ingredients.Extracted.Strength_Item.#5@Active_Ingredients.Extracted.Strength_CALC@Active_Ingredients.Extracted.Strength_unit@Active_Ingredients.Extracted.Strength_value@Active_Ingredients.Extracted.DDD@TimeStamp@geographic_location.#1.row_id@geographic_location.#1.name@geographic_location.#2.row_id@geographic_location.#2.name@geographic_location.#3.row_id@geographic_location.#3.name@geographic_location.#4.row_id@geographic_location.#4.name@geographic_location.#5.row_id@geographic_location.#5.name
16384270@Onco@@@@@@@@@@@"SGN-CD123A, Experimental, SGN-CD123A every 3 weeks"@@@@@SEATTLE, WASHINGTON@1/1/2019@@@@16384270@A Phase 1 Study of SGN-CD123A in Patients With Relapsed or Refractory Acute Myeloid Leukemia (AML)@Both@@@@@Intravenous infusion in 3-week cycles@@@@@THIRD-LINE@NCT02848248@102@@@@@@@8/1/2016@@SGN123-001@@@-  Relapsed/refractory acute myeloid leukemia following at least 2 but no more than 3 prior regimens  -  Patients may be eligible after only 1 previous regimen if in a high risk category  -  Adequate baseline renal and hepatic function  -  Eastern Coopera@@ADULTS@Phase 1@I@@@@@@@@@MONO@-@@@@@-||||@SEATTLE GENETICS@@@@@SEATTLE GENETICS||||@@@@@@|||||||||@Haematological Malignancy@Acute Myeloid Leukaemia@@@@Haematological Malignancy|Acute Myeloid Leukaemia||||||||@SGN-CD123A@@@@@SGN-CD123A||||@Other@@@@@Other||||@Type, incidence, severity, seriousness, and relatedness of adverse events@Type, incidence, and severity of laboratory abnormalities@Incidence of dose-limiting toxicity@@@Blood concentrations of SGN-CD123A, total antibodies, and metabolites@Incidence of antitherapeutic antibodies@@@@RELAPSED@REFRACTORY@@@@Safety Study@SINGLE GROUP ASSIGNMENT@OPEN LABEL@@@@@Invalid Factory Price@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
14916771@Onco@@@@@300f1014ntsdm@300f1813ntsdm@@@@@Two doses of 6 mg/kg with or without standard chemotherapy. [clinicaltrials.gov]@@-@-@-@MONTREAL, CANADA@@@-@@14916771@Pentamidine in Patients With Locally Advanced or Metastatic Pancreatic Cancer Undergoing Standard Therapy@@-@-@@NO REVIEW@@@@-@-@-@NCT00810953@15@-@-@@@-@@1/1/2009@-@OP-103-P@@-@Histologically or cytologically proven diagnosis of advanced pancreatic adenocarcinoma that is unresectable or metastatic. At least one uni-dimensionally measurable lesion (on spiral CT scan) @@@I/II@II@@-@-@Trial registered. [Oncozyme, 16.12.2008]@-@@@@BOTH@PENTAMIDINE@@@@@PENTAMIDINE||||@ONCOZYME PHARMA@@@@@ONCOZYME PHARMA||||@@@@@@|||||||||@Pancreatic Cancer@@@@@Pancreatic Cancer|||||||||@-@@@@@-||||@Other@@@@@Other||||@SEVERE ADVERSE EVENTS@CA19-9 MARKER@@@@TIME TO PROGRESSION@@@@@-@@@@@NON-RANDOMISED@OPEN-LABEL@ACTIVE CONTROL@SINGLE-ARM@@@@Invalid Factory Price@@@@@-@-@@@@-@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@-@@@-@C$@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@49@Canada
14924100@Onco@@@@@300f1228ntsdm@300f1226ntsdm@300f1224ntsdm@300f1230ntsdm@300f1223ntsdm@@-@@-@-@-@-@@@@@14924100@Lung adenocarcinoma@@-@-@@NO REVIEW@@@@-@>> Merck & Co and Schering-Plough have announced that their Boards of Directors have unanimously approved a definitive merger agreement under which Merck and Schering-Plough will combine, under the name Merck, in a stock and cash transaction. Schering-Plough shareholders will receive 0.5767 shares and $10.50 in cash for each share of Schering-Plough. Each Merck share will automatically become a share of the combined company. Based on the closing price of Merck stock on March 6, 2009, the consideration to be received by Schering-Plough shareholders is valued at $23.61 per share, or $41.1 billion in the aggregate. [Merck & Co, 9 March 2009]>> Schering-Plough holds an option for world-wide license of the Biphasix technology containing interferon alpha-2b- this can be exercised up to end of Phase III trials@-@-@-@-@-@@@-@@@-@-@@-@-@@@I@I@@-@-@Clinical trial to commence in 2008@-@@@@MONO@L-DOS47@@@@@L-DOS47||||@HELIX BIOPHARMA@SCHERING-PLOUGH@@@@HELIX BIOPHARMA|SCHERING-PLOUGH|||@@@@@@|||||||||@NSCLC@@@@@NSCLC|||||||||@-@@@@@-||||@Other@@@@@Other||||@-@@@@@@@@@@-@@@@@-@@@@@@@Invalid Factory Price@@@@@-@-@@@@-@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@-@@@-@US$@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@244@United States
14920194@Onco@@@@@300f1228ntsdm@300f1226ntsdm@300f1224ntsdm@300f1230ntsdm@300f1223ntsdm@@@@L01DB07@L01D@@NEW DELHI, INDIA@@@Although its mechanism of action has not been determined, mitoxantrone is a DNA-reactive agent. It has a cytocidal effect on proliferating and non-proliferating cultured human cells, suggesting activity against rapidly proliferating and slow-growing neoplasms.@@14920194@@@@@@NO REVIEW@@@@@Dabur Pharma will change its name to Fresenius Kabi Oncology. [Dabur, 29.10.2008]@@@@@FDA, 19 May 2008@5/19/2008@@@@@@@No@@@@@@APPROVED@@@@@@@@@COMBO@MITOXANTRONE@@@@@MITOXANTRONE||||@DABUR PHARMA@FRESENIUS KABI ONCOLOGY@@@@DABUR PHARMA|FRESENIUS KABI ONCOLOGY|||@@@@@@|||||||||@Haematological Malignancy@Acute Myeloid Leukaemia@@@@Haematological Malignancy|Acute Myeloid Leukaemia||||||||@GENERIC@@@@@GENERIC||||@Cytotoxic Antibiotic@Anthracycline@Topoisomerase II Inhibitor@@@Cytotoxic Antibiotic|Anthracycline|Topoisomerase II Inhibitor||@@@@@@@@@@@@@@@@@@@@@@@Invalid Factory Price@@@@@@@@@1@1@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@INJECTION@US$@@@@@@@@20@MG@2 MG/ML@@@@@@@@@@@@@@@@@@@@@@@@244@United States
14924273@Onco@@@@@300f1228ntsdm@300f1226ntsdm@300f1224ntsdm@300f1230ntsdm@300f1223ntsdm@@-@@-@-@-@WESTMINSTER, COLORADO@@@@@14924273@Recurrent malignant glioma; discontinued in Phase II trials in June 2007.@@-@-@@NO REVIEW@@@@-@-@-@-@-@-@DISCONTINUED IN JUNE 2007 AFTER ENRICH TRIAL FAILED STATISTICAL SIGNIFICANCE.@@@-@@@-@-@@-@-@@@II@DISCONTINUED@@-@-@Discontinued in June 2007 after ENRICH trial failed to demonstrate a statistically significant improvement in overall survival in patients receiving efaproxyn plus WBRT, compared to patients receiving WBRT alone. SOURCE: Allos, 19 June 2007@-@@@@-@EFAPROXIRAL@@@@@EFAPROXIRAL||||@ALLOS THERAPEUTICS@@@@@ALLOS THERAPEUTICS||||@@@@@@|||||||||@Brain Cancer@@@@@Brain Cancer|||||||||@EFAPROXYN@@@@@EFAPROXYN||||@Radiolabeled@@@@@Radiolabeled||||@-@@@@@@@@@@-@@@@@-@@@@@@@Invalid Factory Price@@@@@-@-@@@@-@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@-@@@-@US$@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@244@United States
14918934@Onco@@@@@300f1228ntsdm@300f1226ntsdm@300f1224ntsdm@300f1230ntsdm@300f1223ntsdm@@-@@-@-@-@BETHESA, MARYLAND@@@DCVax products are being developed to activate all aspects of the immune response, both cellular and antibody, thus potentially providing a broader and longer lasting immune and clinical response. Northwest Biotherapeutics' products are deigned as pure, activated DC loaded with the immunogen as would naturally occur, and that are capable of migrating to lymph nodes. The intended result is a very robust, and full immune response consisting of both a specific cellular T cell response and a specific antibody response against the cancer associated antigen.@@14918934@-@@-@-@@NO REVIEW@@@@-@-@-@-@-@-@-@@@-@@@-@N/A@@-@-@@@I@I@@-@-@FDA cleared for this trial. SOURCE: Northwest@-@@@@-@-@@@@@-||||@NORTHWEST BIOTHERAPEUTICS@@@@@NORTHWEST BIOTHERAPEUTICS||||@@@@@@|||||||||@Head & Neck Cancer@@@@@Head & Neck Cancer|||||||||@DCVAX@@@@@DCVAX||||@Immunotherapy@Vaccine@@@@Immunotherapy|Vaccine|||@RESPONSE RATE@@@@@@@@@@-@@@@@-@@@@@@@Invalid Factory Price@@@@@-@-@@@@-@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@-@@@-@US$@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@244@United States
14916079@Onco@@@@@@@@@@@Gardasil at day 1, month 2 and month 6 versus placebo@@-@-@-@WHITEHOUSE STATION, NEW JERSEY@12/1/2008@@Gardasil is an adjuvanted non-infectious recombinant quadrivalent vaccine prepared from the highly purified virus-like particles (VLPs) of the major capsid L1 protein of HPV types 6, 11, 16 and 18. The VLPs contain no viral DNA, they cannot infect cells, reproduce or cause disease. HPV only infects humans, but animal studies with analogous papillomaviruses suggest that the efficacy of LI VLP vaccines is mediated by the development of a humoral immune response. HPV 16 and HPV 18 are estimated to be responsible for approximately 70% of cervical cancers; 80% of adenocarcinoma in situ (AIS); 45-70% of high-grade cervical intraepithelial neoplasia (CIN 2/3); 25% of low grade cervical intraepithelial neoplasia (CIN 1); approximately 70% of HPV related high-grade vulvar (VIN 2/3) and vaginal (VaIN 2/3) intraepithelial neoplasia. HPV 6 and 11 are responsible for approximately 90% of genital warts and 10% of low grade cervical intraepithelial neoplasia (CIN 1). CIN 3 and AIS have been accepted as immediate precursors of invasive cervical cancer.@@14916079@Registrational China trial@@-@-@@NO REVIEW@@@@-@extra-Australia rights licensed from CSL@-@NCT00496626@300@-@-@@@-@@3/1/2008@-@V501-030@@-@-@@@III@III@@-@-@RESULTS PENDING@-@@@@MONO@HUMAN PAPILLOMAVIRUS@@@@@HUMAN PAPILLOMAVIRUS||||@MERCK & CO@@@@@MERCK & CO||||@China@@@@@China|||||||||@Cervical Cancer@@@@@Cervical Cancer|||||||||@GARDASIL@@@@@GARDASIL||||@Vaccine@@@@@Vaccine||||@IMMUNE RESPONSE@@@@@@@@@@-@@@@@RANDOMISED@DOUBLE-BLIND@PLACEBO-CONTROLLED@PARALLEL ASSIGNMENT@@@@Invalid Factory Price@@@@@-@-@@@@-@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@-@@@-@-@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
14922675@Onco@@@@@@@@@@@Maintenance enzastaurin following whole brain radiation therapy versus placebo@@-@-@-@INDIANAPOLIS, INDIANA@@@Enzastaurin is an oral, serine threonine kinase inhibitor which selectively targets the PKCBeta and PI3/AKTsignaling pathways. By blocking these key pathways frequently over-expressed in a wide variety of cancers, enzastaurin suppresses tumor cell proliferation, induces tumor cell death and inhibits tumor-induced angiogenesis. Treatment has been well tolerated with minimal drug-related toxicity. Enzastaurin administration is associated with fatigue, diarrhea, nausea, decreased platelets, cough, vomiting, transaminase elevation, dyspnea, peripheral edema, and dizziness. Further testing in Phase III versus a placebo will provide us with a more complete look at the side effect profile for enzastaurin. In addition to DLBCL, enzastaurin is also being studied in other tumor types including breast, colon, lung, ovarian and prostate cancers@@14922675@Brain metastases of lung cancer after whole brain radiation therapy@@-@-@@NO REVIEW@@@2 YEARS@-@-@-@NCT00415363@108@-@-@@@-@@@-@10710H6Q-MC-S020  @@-@-@@@II@II@@-@-@Completion expected December 2008.@-@@@@MONO@ENZASTAURIN@@@@@ENZASTAURIN||||@LILLY@@@@@LILLY||||@@@@@@|||||||||@Brain Cancer@NSCLC@SCLC@@@Brain Cancer|NSCLC|SCLC|||||||@LY-317615@@@@@LY-317615||||@Angiogenesis Inhibitor@@@@@Angiogenesis Inhibitor||||@TIME TO DISEASE PROGRESSION@@@@@@@@@@-@@@@@RANDOMISED@DOUBLE-BLIND@PLACEBO-CONTROLLED@PARALLEL ASSIGNMENT@@@@Invalid Factory Price@@@@@-@-@@@@-@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@-@@@ORAL @-@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
14921325@Onco@@@@@@@@@@@>ARM1: AMG 479 12 mg/kg dose + gemcitabine arm: AMG 479 12 mg/kg administered intravenously on days 1 and 15 of a 28 day cycle; gemcitabine 1000mg/m2 administered intravenously on days 1, 8 and 15 of a 28 day cycle>ARM2: Placebo + gemcitabine: Placebo administered intravenously on days 1 and 15 of a 28 day cycle; gemcitabine 1000mg/m2 administered intravenously on days 1, 8 and 15 of a 28 day cycle>ARM3: AMG 479 20 mg/kg + gemcitabine: AMG 479 20mg/kg administered intravenously on days 1 and 15 of a 28 day cycle; gemcitabine 1000mg/m2 administered intravenously on days 1, 8 and 15 of a 28 day cycle@@@@@@12/1/2014@@@@14921325@A Phase 3, Multicenter, Randomized, Double-Blind, Placebo Controlled, Trial of AMG 479 or Placebo in Combination With Gemcitabine as First Line Therapy for Metastatic Adenocarcinoma of the Pancreas@@@@@@@@@@Takeda and Amgen signed a deal in February 2008 through which, in its first part, Takeda acquired Japanese rights for up to 13 molecules in Amgen's pipeline, including Vectibix (panitumumab), AMG-108, AMG-317, AMG-386, AMG-479 and AMG-655, for US$200 mil.@@NCT01231347@825@@@@@@@4/1/2011@@GAMMA@@@@@@III@III@@@@Trial registered [Amgen 14 October 2010]@@@@@COMBO@GEMCITABINE@@@@@GEMCITABINE||||@AMGEN@TAKEDA PHARMACEUTICAL@@@@AMGEN|TAKEDA PHARMACEUTICAL|||@@@@@@|||||||||@Pancreatic Cancer@@@@@Pancreatic Cancer|||||||||@AMG-479@GEMZAR@@@@AMG-479|GEMZAR|||@mAb@Human@@@@mAb|Human|||@OVERALL SURVIVAL@@@@@PROGRESSION-FREE SURVIVAL@RESPONSE@@@@METASTATIC@@@@@RANDOMISED@DOUBLE-BLIND@PLACEBO CONTROLLED@@@@@Invalid Factory Price@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
14919080@Onco@@@@@@@@@@@N/A@@L01XA03@L01X@-@PARIS, FRANCE@@@Eloxatin is an antineoplastic agent which is an organoplatinum complex in which the platinum atom is complexed with 1,2-DACH and with an oxalate ligand as a leaving group. It undergoes non-enzymatic conversion in physiologic solutions to active derivatives via displacement of the labil oxalate ligand. Several transient reactive species are formed, including monoaquo and diaquo DACH platinum, which covalently bind with macromolecules. Both inter- and intrastrand Pt-DNA crosslinks are formed. These crosslinks inhibit DNA replication and transcription. Cytotoxicity is cell-cycle nonspecific.@@14919080@Eloxatin in patients with colorectal cancer following surgery@@-@-@@NO REVIEW@@@@-@sanofi-aventis licensed U.S. and European rights from Debiopharm.@-@-@N/A@-@FDA priority review granted. Approval expected within 6 months of filing. SOURCE: sanofi-aventis, 21 February 2008@2/21/2008@@-@@@-@MOSAIC@@-@-@@@III@FILED@@-@-@Eloxatin demonstrated significant improvement in 6-year overall survival in patients who had surgery to remove the tumour.@-@@@@MONO@OXALIPLATIN@@@@@OXALIPLATIN||||@SANOFI-AVENTIS@@@@@SANOFI-AVENTIS||||@@@@@@|||||||||@Colorectal Cancer@@@@@Colorectal Cancer|||||||||@ELOXATIN@@@@@ELOXATIN||||@Platinum@@@@@Platinum||||@OVERALL SURVIVAL@@@@@@@@@@-@@@@@RANDOMISED@@@@@@@Invalid Factory Price@@@@@-@-@@@@-@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@-@@@-@-@@@@@@@@@-@-@@@@@@@@@@@@@@@@@@@@@@@@@
14918925@Onco@@@@@300f1228ntsdm@300f1226ntsdm@300f1224ntsdm@300f1230ntsdm@300f1223ntsdm@@CEP-701 alone@@-@-@-@FRAZER, PENNSYLVANIA@@@@@14918925@-@@-@-@@NO REVIEW@@@@-@Licensed from Kyowa Hakko; supplied by Abbott/TAP. Original licensing agreement with Schwarz Pharma terminated.@-@-@N/A@-@-@@@-@@11/1/2006@-@N/A@@-@-@@@III@III@@-@-@Little is as yet known about this trial.@-@@@@-@LESTAURTINIB@@@@@LESTAURTINIB||||@CEPHALON@@@@@CEPHALON||||@@@@@@|||||||||@Haematological Malignancy@Acute Myeloid Leukaemia@@@@Haematological Malignancy|Acute Myeloid Leukaemia||||||||@CEP-701@@@@@CEP-701||||@TK Inhibitor@@@@@TK Inhibitor||||@N/A@@@@@@@@@@-@@@@@N/A@@@@@@@Invalid Factory Price@@@@@-@-@@@@-@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@-@@@-@US$@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@244@United States
14919106@Onco@@@@@@@@@@@Part 1: MK1775 capsules will be given on day 1 of a 14 day cycle: starting dose of MK1775 is 325mg and will escalate up to 1300mg or until MTD achieved Part 2-1: Starting dose of MK1775, 100mg with gemcitabine IV infusion dosage ranging from1000 mg/m2 to 600 mg/m2 in a 28 day cyclePart 2-2: Starting dose of MK1775, 100mg with cisplatin IV infusion dosage ranging from 75 mg/m2 to 50 mg/m2in a 21 day cycle. SOURCE: clinicaltrials.gov@@-@-@-@WHITEHOUSE STATION, NEW JERSEY@8/1/2010@@@@14919106@MK-1775 as monotherapy and combination with either Gemzar, cisplatin or carboplatin@@-@-@@NO REVIEW@@@@-@-@-@NCT00648648@155@-@NDA filing expected within 2 years. SOURCE: CMS, 17 January 2008@1/17/2008@@-@@3/1/2008@-@MK1775-001@@-@-@@@I@I@@-@-@RESULTS PENDING@-@@@@BOTH@-@GEMCITABINE@CISPLATIN@CARBOPLATIN@@-|GEMCITABINE|CISPLATIN|CARBOPLATIN|@MERCK & CO@@@@@MERCK & CO||||@Netherlands@@@@@Netherlands|||||||||@Solid Tumours@@@@@Solid Tumours|||||||||@MK-1775@GEMZAR@@@@MK-1775|GEMZAR|||@Other@@@@@Other||||@DOSE-LIMITING TOXICITY@@@@@@@@@@ADVANCED@@@@@NON-RANDOMISED@OPEN-LABEL@UNCONTROLLED@SINGLE-ARM@@@@Invalid Factory Price@@@@@-@-@@@@-@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@-@@@-@-@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
14923715@Onco@@@@@300f1008ntsdm@@@@@@-@@-@-@-@-@@@Bendamustine is an alkylating that is a bifunctional mechlorethamine derivative. Mechlorethamine and its derivatives dissociate into electrophilic alkyl groups. These groups form covalent bonds with electron-rich nucleophilic moieties. The bifunctional covalent linkage can lead to cell death via several pathways. The exact mechanism of action of bendamustine remains unknown. Bendamustine is active against both quiescent and dividing cells.@@14923715@-@@-@-@@NO REVIEW@@@@-@Eisai licenses Japanese/selected Asian rights friom Symbio. SOURCE: Eisai, 19 August 2008@-@-@-@-@-@@@-@@@-@-@@-@-@@@-@II@@-@@RESULTS PENDING@-@@@@-@BENDAMUSTINE@RITUXIMAB@@@@BENDAMUSTINE|RITUXIMAB|||@EISAI@SYMBIO@@@@EISAI|SYMBIO|||@@@@@@|||||||||@Haematological Malignancy@Non-Hodgkin's Lymphoma@@@@Haematological Malignancy|Non-Hodgkin's Lymphoma||||||||@TREANDA@SYB-L-5010@@@@TREANDA|SYB-L-5010|||@Alkylating Agent@Nitrogen Mustard Analogue@@@@Alkylating Agent|Nitrogen Mustard Analogue|||@-@@@@@@@@@@-@@@@@-@@@@@@@Invalid Factory Price@@@@@-@-@@@@-@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@-@@@INJECTION@YEN@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@2017-09-15T09:28:17.5370353Z@121@Japan
