source_id@collection_memberships.#1@collection_memberships.#2@collection_memberships.#3@collection_memberships.#4@collection_memberships.#5@subscription.#1@subscription.#2@subscription.#3@subscription.#4@subscription.#5@Acronym@Administration@Asset_Classification@ONCO_ATC_Code@ATC_Level3@Black_Box@Company_HQ@Completion_Date@Current_Status@Drug_Description@Drug_Type@DynamicObjectID@ONCO_Full_Indication@Gender@ONCO_Hospital_Status@HTA_Decision_Date.RawValue@HTA_Decision_Date.Value@ICER_QALYs@Intervention@Intervention_Type@Length_Of_Trial@Level_Of_Reimbursement@Licensing_Status@Line_Of_Therapy@NCT_Code@No_Of_Patients@Official_Dosage@ONCO_Approval_Date.RawValue@ONCO_Approval_Date.Value@ONCO_Marketing_Date@ONCO_Orphan_Drug@Breakthrough_Therapy@ONCO_Start_Date@ONCO_Warnings@Other_IDs@ONCO_Parallel_Import@Patent_Expiration@Patient_Description@Patient_Profile@Patient_Profile_Age_Groups@Phase_Of_Trial@Portfolio_Pipeline_Status@ONCO_Regulatory_Submission_Date@Reimbursement_Guidance@Reimbursement_Plan@Results_Efficacy@Results_Safety_and_Adverse_Events@Sponsors@Study_Funded_By@ONCO_Therapeutic_Class@Type_Of_Therapy@API.#1@API.#2@API.#3@API.#4@API.#5@API_KEY@ONCO_Company.#1@ONCO_Company.#2@ONCO_Company.#3@ONCO_Company.#4@ONCO_Company.#5@ONCO_Company_KEY@Country_Clinical_Trial.#1@Country_Clinical_Trial.#2@Country_Clinical_Trial.#3@Country_Clinical_Trial.#4@Country_Clinical_Trial.#5@Country_Clinical_Trial_KEY@Disease_Area.#1@Disease_Area.#2@Disease_Area.#3@Disease_Area.#4@Disease_Area.#5@Disease_Area_KEY@Drug.#1@Drug.#2@Drug.#3@Drug.#4@Drug.#5@Drug_KEY@Drug_Class.#1@Drug_Class.#2@Drug_Class.#3@Drug_Class.#4@Drug_Class.#5@Drug_Class_KEY@Primary_Endpoint.#1@Primary_Endpoint.#2@Primary_Endpoint.#3@Primary_Endpoint.#4@Primary_Endpoint.#5@Secondary_Endpoints.#1@Secondary_Endpoints.#2@Secondary_Endpoints.#3@Secondary_Endpoints.#4@Secondary_Endpoints.#5@Stage_Of_Disease.#1@Stage_Of_Disease.#2@Stage_Of_Disease.#3@Stage_Of_Disease.#4@Stage_Of_Disease.#5@Trial_Design.#1@Trial_Design.#2@Trial_Design.#3@Trial_Design.#4@Trial_Design.#5@Assumption_value@Assumption_unit@ATC_Calculation_attempt@Average_Annual_Cost@Average_Cost_Per_Treatment_Cycle@Average_Duration_of_Use.Value@Average_Duration_of_Use.Unit@Average_Duration_of_Use.Comment@Average_Treatment_Cost.RawValue@Average_Treatment_Cost.Value@Cost_Per_Day@Number_of_Units@ONCO_Exchange_Rate@Factory_Price@Retail_Price@Wholesale_Price@PriceTimestamps.ManufacturerPriceDelta.TimeStamp@PriceTimestamps.ManufacturerPriceDelta.ValueChange@PriceTimestamps.ManufacturerPriceDelta.PercentageChange@PriceTimestamps.WholesalerPriceDelta.TimeStamp@PriceTimestamps.WholesalerPriceDelta.ValueChange@PriceTimestamps.WholesalerPriceDelta.PercentageChange@PriceTimestamps.RetailerPriceDelta.TimeStamp@PriceTimestamps.RetailerPriceDelta.ValueChange@PriceTimestamps.RetailerPriceDelta.PercentageChange@Price_Per_MG@Treatment_Phase_1.Cycle_Duration@Treatment_Phase_1.Cycle_Repetition@Treatment_Phase_1.Dosage_Unit@Treatment_Phase_1.Dosage_Value@Treatment_Phase_1.Treatment_Duration@Treatment_Phase_2.Cycle_Duration@Treatment_Phase_2.Cycle_Repetition@Treatment_Phase_2.Dosage_Unit@Treatment_Phase_2.Dosage_Value@Treatment_Phase_2.Treatment_Duration@Treatment_Phase_3.Cycle_Duration@Treatment_Phase_3.Cycle_Repetition@Treatment_Phase_3.Dosage_Unit@Treatment_Phase_3.Dosage_Value@Treatment_Phase_3.Treatment_Duration@Price_Date@ONCO_Price_per_Unit.RawValue@ONCO_Price_per_Unit.Value@Import_Id@Form@Currency@Active_Ingredients.Original.Active_Ingredient@Active_Ingredients.Original.Input_Language@Active_Ingredients.Original.Active_Ingredient_Translated@Active_Ingredients.Original.Volume@Active_Ingredients.Original.Volume_Unit@Active_Ingredients.Original.Dose@Active_Ingredients.Original.Dose_Unit@Active_Ingredients.Original.Strength@Active_Ingredients.Original.Strength_Unit@Active_Ingredients.Original.Strength_Comment@Active_Ingredients.Original.DDD@Active_Ingredients.Original.DDD_Unit@Active_Ingredients.Original.DDD_Comment@Active_Ingredients.Extracted.Active_Ingredient_Item.#1@Active_Ingredients.Extracted.Active_Ingredient_Item.#2@Active_Ingredients.Extracted.Active_Ingredient_Item.#3@Active_Ingredients.Extracted.Active_Ingredient_Item.#4@Active_Ingredients.Extracted.Active_Ingredient_Item.#5@Active_Ingredients.Extracted.Active_Ingredient_Item_Translated.#1@Active_Ingredients.Extracted.Active_Ingredient_Item_Translated.#2@Active_Ingredients.Extracted.Active_Ingredient_Item_Translated.#3@Active_Ingredients.Extracted.Active_Ingredient_Item_Translated.#4@Active_Ingredients.Extracted.Active_Ingredient_Item_Translated.#5@Active_Ingredients.Extracted.Strength_Item.#1@Active_Ingredients.Extracted.Strength_Item.#2@Active_Ingredients.Extracted.Strength_Item.#3@Active_Ingredients.Extracted.Strength_Item.#4@Active_Ingredients.Extracted.Strength_Item.#5@Active_Ingredients.Extracted.Strength_CALC@Active_Ingredients.Extracted.Strength_unit@Active_Ingredients.Extracted.Strength_value@Active_Ingredients.Extracted.DDD@TimeStamp@geographic_location.#1.row_id@geographic_location.#1.name@geographic_location.#2.row_id@geographic_location.#2.name@geographic_location.#3.row_id@geographic_location.#3.name@geographic_location.#4.row_id@geographic_location.#4.name@geographic_location.#5.row_id@geographic_location.#5.name
0.01@Onco@@@@@300f1012ntsdm@@@@@@NO LABELLED TRIAL@@L01XX11@L01X@NO@HOLZKIRCHEN, GERMANY@@@Estramustine is a chemical compound of oestradiol and nitrogen mustard. It is effective in the treatment of advanced prostatic carcinoma. Estramustine has a dual mode of action. The intact molecule acts as an anti-miotic agent; after hydrolysis of the carbamate ester, the metabolites act to bridge the released oestrogens and exert an anti-gonadotrophic effect. The low level of clinical side effects may be due to the fact that estramustine binds to a protein present in the tumour tissue, so resulting in accumulation of the drug at the target site. Estracyt also has weak oestrogenic and anti-gonadotrophic properties. Estramustine causes little or no bone marrow depression at usual therapeutic dosage. Estramustine is effective in patients who have not previously received drug therapy, as well as in those who have shown no response to conventional hormone treatment.@@14918323@Carcinoma of the prostate, especially in cases unresponsive to, or relapsing after, treatment by conventional oestrogens (stilboestrol, polyestradiol phosphate etc.) or by orchidectomy.@@@@@NO REVIEW@@@@90% (MINIMUM CO-PAYMENT: EUR5, MAXIMUM CO-PAYMENT: EUR10)@Novartis purchases Hexal and Eon Labs in a 5.65 billion euro deal. [Novartis, 21.02.2005]@@@@Dosage range may be from 1 to 10 capsules a day by mouth. The capsules should be taken not less than 1 hour before or 2 hours after meals. The capsules should not be taken with milk or milk products. Standard starting dosage is 4-6 capsules a day in divided doses with later adjustment according to response and gastrointestinal tolerance.@@@@@@@Use with caution in patients with moderate to severe bone marrow depression, thrombophlebitis, thrombosis, thromboembolic disorders, cardiovascular disease, coronary artery disease and congestive heart failure.@NO LABELLED TRIAL@No@@@@@@APPROVED@@@GKV@NO LABELLED TRIAL@@@@@@ESTRAMUSTINE PHOSPHATE SODIUM@@@@@ESTRAMUSTINE PHOSPHATE SODIUM||||@HEXAL@NOVARTIS@@@@HEXAL|NOVARTIS|||@@@@@@|||||||||@Prostate Cancer@@@@@Prostate Cancer|||||||||@GENERIC@@@@@GENERIC||||@Oestrogen@Nitrogen Mustard Analogue@@@@Oestrogen|Nitrogen Mustard Analogue|||@@@@@@@@@@@REFRACTORY@@@@@@@@@@@@Invalid Dosage Value Phase 1@@@@@@@@@50@1.1511@113.33@154.27@117.6@@@@@@@@@@@@@@@@@@@@@@@@@@8/1/2017@2.27@2.27@882678@HARD CAPSULE@EURO@@@@@@@@280@MG@@@@@@@@@@@@@@@@@@@@@@@@@92@Germany
14916569@Onco@@@@@300f1224ntsdm@300f1225ntsdm@300f1226ntsdm@300f1227ntsdm@300f1228ntsdm@@Patients enrolled in the trial will receive three weekly doses of 72 mg/m2 of voreloxin in a treatment cycle.@@-@-@-@SOUTH SAN FRANCISCO, CALIFORNIA@12/1/2009@@Voreloxin (also known as SNS-595) is a novel naphthyridine analog, structurally related to quinolones, a class of compounds which has not been used previously for the treatment of cancer. voreloxin both intercalates DNA and inhibits topoisomerase II, resulting in replication-dependent, site- selective DNA damage, irreversible G2 arrest and rapid apoptosis. The topoisomerase II-associated DNA intercalation and DNA damage produced by voreloxin show greater selectivity for proliferating cells.  In nonclinical evaluations, voreloxin demonstrates broad and potent activity in tumor biopsies and in xenograft, syngeneic and drug-resistant tumor models. In addition to the REVEAL-1 Phase 2 clinical trial in elderly AML patients, voreloxin is being evaluated in combination with cytarabine in a Phase 1b clinical trial and as a single agent in a Phase 2 clinical trial in platinum-resistant ovarian cancer. In clinical trials conducted to date, voreloxin has been generally well tolerated and has shown objective responses in both solid and hematologic tumor types. @@14916569@Untreated AML in patients older than 60@@-@-@@NO REVIEW@@@@-@-@FIRST-LINE@NCT00607997@55@-@-@@@-@@2/1/2008@-@REVEAL-1@@-@In order to qualify for the trial, patients must be at least age 60 with previously untreated AML and satisfy at least one of the following factors: poor performance status (PS 2); intermediate or unfavorable cytogenetics; prior antecedent hematologic disorder; or age greater than or equal to 70 years. @@@II; SPO-0014@II@@-@-@RESULTS PENDING@-@@@@MONO@VORELOXIN@@@@@VORELOXIN||||@SUNESIS PHARMACEUTICALS@@@@@SUNESIS PHARMACEUTICALS||||@@@@@@|||||||||@Haematological Malignancy@Acute Myeloid Leukaemia@@@@Haematological Malignancy|Acute Myeloid Leukaemia||||||||@SNS-595@@@@@SNS-595||||@Cytotoxic Antibiotic@@@@@Cytotoxic Antibiotic||||@RESPONSE RATE@@@@@@@@@@-@@@@@NON-RANDOMISED@OPEN-LABEL@UNCONTROLLED@SINGLE-ARM@@@@Invalid Factory Price@@@@@-@-@@@@-@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@-@@@INJECTION@US$@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@244@United States
16395657@Onco@@@@@300f1037ntsdm@@@@@@10 mg once daily or 10 mg once daily for 21 days every 28 days. Sequential dose reductions to 5 mg daily and 5 mg every other day, as well as dose delays, were allowed for toxicity.@@L04AX04@L04A@@SUMMIT, NEW JERSEY@@@The lenalidomide mechanism of action includes anti-neoplastic, anti-angiogenic, pro-erythropoietic, and immunomodulatory properties. Specifically, lenalidomide inhibits proliferation of certain haematopoietic tumour cells (including MM plasma tumour cells and those with deletions of chromosome 5), enhances T cell- and Natural Killer (NK) cell-mediated immunity and increases the number of NK T cells, inhibits angiogenesis by blocking the migration and adhesion of endothelial cells and the formation of microvessels, augments foetal haemoglobin production by CD34+ haematopoietic stem cells, and inhibits production of pro-inflammatory cytokines (e.g., TNF-a and IL-6) by monocytes.@@16395657@Indicated for the treatment of patients with transfusiondependent anaemia due to low or intermediate1risk myelodysplastic syndromes associated with an isolated deletion 5q cytogenetic abnormality when other therapeutic options are insufficient or inadequate.@@YES@@@NO REVIEW@@@@@@@@148@The recommended starting dose of lenalidomide is 10 mg orally once daily on days 121 of repeated 28day cycles. Dosing is continued or modified based upon clinical and laboratory findings.@EMA, 25 April 2013@4/25/2013@@Yes@@@@MDS003@No@@148 PATIENTS WHO HAD RBC TRANSFUSION DEPENDENT ANEMIA. RBCTRANSFUSION DEPENDENCE WAS DEFINED AS HAVING RECEIVED = 2 UNITS OF RBCS WITHIN 8 WEEKS PRIOR TO STUDY TREATMENT. THE STUDY ENROLLED PATIENTS WITH ABSOLUTE NEUTROPHIL COUNTS (ANC) = 500 CELLS/MM3,@@@III@APPROVED@@@SNS@@@@@@MONO@LENALIDOMIDE@@@@@LENALIDOMIDE||||@CELGENE@@@@@CELGENE||||@@@@@@|||||||||@Haematological Malignancy@Myelodysplastic Syndrome@@@@Haematological Malignancy|Myelodysplastic Syndrome||||||||@REVLIMID@@@@@REVLIMID||||@Immunotherapy@IMiD@@@@Immunotherapy|IMiD|||@@@@@@@@@@@@@@@@OPEN-LABEL@SINGLE-ARM@MULTI-CENTRE@@@1@1@4837.415982@@@56@day@56 day@4837.42@4837.42@86.38@21@1.1511@6046.77@6346.79@6054.31@@@@@@@@@@11.52@28@@mg@10@21@@@@@@@@@@@8/4/2017@287.94@287.94@652652@CAPSULE@EURO@@@@@@@@25@MG@25 MG@@@@@@@@@@@@@@@@@@@@@@@@217@Spain
14921624@Onco@@@@@300f1018ntsdm@@@@@@AZD-2281 oral bid with cisplatin IV every 3 weeks [AstraZeneca]@@-@-@-@LONDON, UNITED KINGDOM@11/1/2010@@A small molecule inhibitor of the nuclear enzyme poly(ADP-ribose) polymerase (PARP) with potential chemosensitizing, radiosensitizing, and antineoplastic activities. PARP inhibitor AZD2281 selectively binds to and inhibits PARP, inhibiting PARP-mediated repair of single strand DNA breaks; PARP inhibition may enhance the cytotoxicity of DNA-damaging agents and may reverse tumor cell chemoresistance and radioresistance. PARP catalyzes post-translational ADP-ribosylation of nuclear proteins and can be activated by single-stranded DNA breaks.@@14921624@AZD2281 Administered Orally in Combination With Cisplatin, to Assess the Safety and Tolerability in Patients With Advanced Solid Tumours, and to Assess Efficacy in the Neoadjuvant Setting for Patients With Triple Negative Breast Cancer@@-@-@@NO REVIEW@@@@-@Acquired through takeover of KuDOS in January 2007@@NCT00782574@18@-@-@@@-@@11/1/2008@-@D0810C00021@@-@>> Life expectancy of at least 12 weeks     >> Histologically confirmed metastatic cancer, not amenable to surgery or radiation therapy with curative intent       >> Patients with measurable or non measurable disease according to RECIST@@@I/II@I@@-@-@Trial registered. [AstraZeneca, 29.10.2008]@-@@@@NEOADJUVANT@-@CISPLATIN@@@@-|CISPLATIN|||@ASTRAZENECA@@@@@ASTRAZENECA||||@@@@@@|||||||||@Breast Cancer@HER2-@@@@Breast Cancer|HER2-||||||||@AZD-2281@@@@@AZD-2281||||@PARP Inhibitor@@@@@PARP Inhibitor||||@SAFETY@@@@@EXPOSURE@RESPONSE RATE@@@@METASTATIC@TRIPLE NEGATIVE@@@@OPEN-LABEL@SINGLE-ARM@@@@@@Invalid Factory Price@@@@@-@-@@@@-@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@-@@@CAPSULE@-@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@23@Australia
16388209@Onco@@@@@@@@@@@"DC-PNAT/PMAT cells, Experimental, DC-PNAT/PMAT cells combined with Chemotherapy treatment: Chemotherapy:
once a week with a total of six times before 60 days prior to the start of drawing blood. DC-PNAT/PMAT cells：once per 3 weeks with a total of three periods.
Chemotherapy, Active Comparator, Chemotherapy:
once a week with a total of six times before 60 days prior to the start of drawing blood.
"@@@@@CHINA@3/1/2018@@@@16388209@A Clinical Study of Dendritic Cell-Precision Neoantigen T Cells/Precision Multiple Antigen T Cells Combined With Chemotherapy in Advanced Gastric Cancer@Both@@@@@Cisplatin：60mg/m2，5-FU：500mg/m2,Physiological saline 100ml:IV (in the vein) once a week with a total of six times.@@@@@-@NCT02862561@40@@@@@@@8/1/2016@@SIMC-20160104@@@-  Age 18~65 years old, male or female;  -  Life expectancy≥6 months;  -  ECOG score: 0-3;  -  Advanced Malignancies (gastric cancer) were diagnosed by pathological or clinical physicians;  -  Enough venous channel, no other contraindications to the separ@-@ADULTS@Phase 1/Phase 2@I/II@@@@@@@@@COMBO@-@CISPLATIN@5-FU@@@-|CISPLATIN|5-FU||@SHANGHAI INTERNATIONAL MEDICAL CENTER@@@@@SHANGHAI INTERNATIONAL MEDICAL CENTER||||@China@@@@@China|||||||||@GIST@@@@@GIST|||||||||@DC-PNAT/PMAT@GENERIC@GENERIC@@@DC-PNAT/PMAT|GENERIC|GENERIC||@Other@@@@@Other||||@OVERALL SURVIVAL@Progress-free survival@@@@QUALITY OF LIFE@@@@@ADVANCED@@@@@RANDOMIZED@SAFETY/EFFICACY STUDY@PARALLEL ASSIGNMENT@OPEN LABEL@@@@Invalid Factory Price@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
14923498@Onco@@@@@@@@@@@Received standard first-line chemotherapy, carboplatin/paclitaxel (C/P), plus either oral talactoferrin or placebo.@@-@-@-@HOUSTON, TEXAS@@@Talactoferrin, a novel dendritic cell activator (DCA), is a unique recombinant form of human lactoferrin, an important immunomodulatory protein. Lactoferrin, found in the highest concentration in milk, is expressed throughout the body in immune cells and on all body surfaces exposed to the external environment. Lactoferrin plays an important role in helping to establish the immune system, including the Gut Associated Lymphoid Tissue (GALT), in infants. Talactoferrin is produced in Aspergillus niger, a filamentous fungus, and is structurally identical to native human lactoferrin in all material respects, differing only in its glycosylation.@@14923498@First-line@@-@-@@NO REVIEW@@@@-@-@FIRST-LINE@-@110@-@FDA confirmed that the Phase II trial provided the basis for moving forward with a large, pivotal Phase III trial in NSCLC and that the Phase II trial could provide supporting data for a BLA. The FDA also provided Fast Track designation for the development of talactoferrin as a first-line treatment in NSCLC. The FDA agreed that (i) the trial can be global without a requirement for any minimum number of patients from the U.S., provided that the standard of care is uniform across countries and that patients are appropriately stratified by region; (ii) it is appropriate to use carboplatin + paclitaxel (the chemotherapy used in Phase II) as the comparator arm even with the approval of Avastin, since Avastin's approval only applies to about 50% of patients with locally advanced or metastatic NSCLC and is associated with significant toxicities; (iii) PFS can be the primary endpoint for accelerated approval with the trial also powered to eventually look at overall survival for full approval; and (iv) a single pivotal trial powered for a high degree of statistical significance (p=0.01) for the PFS primary endpoint is acceptable. SPA package has been submitted.@@@-@@@-@-@@-@-@@@II@II@@-@-@ASCO 2006; the study met its primary endpoint with a substantial improvement in response rate. The median PFS in the ITT and evaluable patients increased by 2.8 months (67% improvement), from 4.2 months (C/P+placebo) to 7.0 months (C/P+talactoferrin). The median duration of response in the patients with a confirmed response increased by 2.1 months (39%) from 5.5 months (C/P+placebo) to 7.6 months (C/P+talactoferrin). The median overall survival in the ITT population increased by 1.9 months (22% improvement), from 8.5 months (C/P+placebo) to 10.4 months (C/P+talactoferrin), and in the prospectively defined evaluable population by 2.8 months (33% improvement) from 8.5 months to 11.3 months.@-@@@@COMBO@TALACTOFERRIN ALFA@CARBOPLATIN@PACLITAXEL@@@TALACTOFERRIN ALFA|CARBOPLATIN|PACLITAXEL||@AGENNIX@@@@@AGENNIX||||@India@@@@@India|||||||||@NSCLC@@@@@NSCLC|||||||||@-@@@@@-||||@Immunotherapy@@@@@Immunotherapy||||@RECIST@@@@@@@@@@ADVANCED@@@@@RANDOMISED@DOUBLE-BLIND@PLACEBO-CONTROLLED@@@@@Invalid Factory Price@@@@@-@-@@@@-@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@-@@@ORAL @-@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
